,count_x,sending_count,receiving_count,active_count,new_non_zero_count,difficulty_mean,difficulty_latest,hash_rate_mean,count_y,rate,size_mean,size_sum,transfers_volume_sum,transfers_volume_mean,transfers_volume_median,volume_sum,volume_mean,volume_median,difficulty_ribbon,sopr,stock_to_flow_ratio,pi_cycle_top,utxo_count,utxo_created_count,utxo_spent_count,utxo_created_value_sum,utxo_spent_value_sum,utxo_created_value_mean,utxo_spent_value_mean,utxo_created_value_median,utxo_spent_value_median,block_height,block_count,block_interval_mean,block_interval_median,block_size_mean,block_size_sum,current,active_more_1y_percent,price_drawdown_relative
2011-08-18,1764861,9982,17676,20313,11917,7755426037811680,7755426037811680,12915246321786.5,7271,0.08415509259259259,429.6106450281969,3123699,400276.76450103,55.0511297622101,12.75013984,5.91856628,0.000813996187594554,0.0,3898198747756312.0,1.00522721512596,1.2050471490913537,12.247789314904654,809958,21201,13092,407482.68306731,400282.68306731,19.219974674181,30.5746015175152,0.34340567,1.15,141548,144,600.486111111111,414,21981.548611111102,3165343,7077450.0,0.2941190796120089,-0.6599106094374765
2011-08-19,1779099,10370,18932,21840,14238,7755426037811680,7755426037811680,11678381642086.7,7483,0.0866087962962963,468.3179206200729,3504423,556105.80301097,74.315889751566,10.87,7.767044500000001,0.00103795863958305,0.0,3956024952360831.0,1.00338105051652,1.2096609503832056,12.321059126694017,816460,21602,15100,562663.57005547,556113.57005547,26.046827611122602,36.828713248707,0.21379123,1.01,141679,131,664.083969465649,550,27046.8473282443,3543137,7084000.0,0.2941366798418989,-0.6347344945456175
2011-08-20,1792093,9064,18345,20800,12994,7755426037811680,7755426037811680,13035626696015.5,7039,0.08146990740740741,437.113794573092,3076844,224616.33169003,31.910261640862302,12.40387097,5.41691304,0.00076955718710044,0.0,4013851156965351.0,1.01121971187958,1.2172656915991924,12.394243223227155,825311,21600,12749,232221.74860307,224621.74860307,10.7510068797718,17.6187739119202,0.21099934,1.07,141831,152,594.940789473684,355,20510.4934210526,3117595,7091600.0,0.294430799819507,-0.6409738564440239
2011-08-21,1806944,9997,19626,22366,14851,7755426037811680,7755426037811680,14115210625069.6,7507,0.08688657407407407,426.432796057014,3201231,242892.58082983,32.3554789969135,10.2623852,5.68728636,0.000757597756760357,0.0,4071677361569869.5,0.997440388571057,1.223449351821997,12.468194259888511,834340,22326,13297,250898.26811619,242898.26811619,11.2379408813129,18.267148087252,0.18,1.01,141991,160,549.4375,420,20296.275,3247404,7099600.0,0.294500405656659,-0.6449803644165555
2011-08-22,1823194,10317,21977,25025,16250,7755426037811680,7755426037811680,15232874647151.1,7646,0.08849537037037038,455.9455924666489,3486160,273233.35995305,35.7354642889157,14.68904971,7.55144943,0.000987633982474496,0.0,4129503566174389.0,1.00041542048919,1.2318301397428466,12.539347411534207,844967,24959,14332,281690.91140248,273240.91140248,11.286145735104801,19.065092897186602,0.13064992,1.07,142160,169,509.12426035503,330,20855.2426035503,3524536,7108050.0,0.294389589268508,-0.6569713337630803
2011-08-23,1837284,9588,19391,22345,14090,7755426037811680,7755426037811680,13087830283303.0,7122,0.08243055555555556,443.44524010109495,3158217,439714.46180093,61.7403063466625,14.01786483,6.96478529,0.00097792548301039,0.0,4187329770778909.0,0.993759693259356,1.2407273954837157,12.608066871103265,853918,22064,13113,447471.42658622,439721.42658622,20.2806121549229,33.533243848564,0.16932509,1.28467529,142315,155,592.567741935484,442,20649.2451612903,3200633,7115800.0,0.294448504735942,-0.6573901423896347
2011-08-24,1850961,9923,18734,21797,13677,7755426037811680,7755426037811680,11900546103872.4,7233,0.08371527777777778,432.374809899074,3127367,559683.81811839,77.3792089200042,13.03813489,8.69528835,0.00120216899626711,0.0,4244820365738346.5,0.997859222286038,1.250422842907499,12.675894378175855,862232,21373,13059,566392.51340674,559692.51340674,26.5003749313031,42.8587574398302,0.26293063,1.3,142449,134,651.686567164179,484,23619.3134328358,3164988,7122500.0,0.2947427462267489,-0.6597982924048651
2011-08-25,1865496,9874,19604,22862,14535,7755426037811680,7755426037811680,12262620228444.3,7106,0.08224537037037037,441.678300028145,3138566,373618.58956978,52.5779045271291,14.0,5.9971543,0.000843956417112299,0.0,4302310960697784.0,1.13306008194923,1.2602298528695903,12.737614194875135,871233,22010,13009,380374.58672408,373624.58672408,17.2818985335794,28.720469423020898,0.129,1.65,142584,135,632.444444444444,456,23503.5185185185,3172975,7129250.0,0.294660119928466,-0.6963706278011208
2011-08-26,1877898,10906,17412,21300,12402,7755426037811680,7755426037811680,13253901920088.3,7274,0.08418981481481481,459.135688754468,3339753,277651.96758712,38.1704657117295,16.54675147,4.68880866,0.000644598386032444,0.0,4359801555657222.5,1.0217296611420998,1.2693704731099704,12.788042413810706,876245,19664,14652,285006.65639578,277656.65639578,14.493829149500597,18.9500857490978,0.41053604,1.6995,142731,147,585.142857142857,342,22968.7959183673,3376413,7136600.0,0.2941254000504461,-0.7435557281860816
2011-08-27,1889753,10228,16747,20640,11855,7755426037811680,7755426037811680,10926288776638.7,6239,0.07221064814814815,482.895496073088,3012785,2705490.23339124,433.641646640688,17.65850637,5.02820664,0.000805931501843244,0.0,4417292150616660.0,0.8971704122957871,1.2767917907345363,12.832131792484093,882117,18811,12939,2711595.26159788,2705495.26159788,144.149447748545,209.09616366008999,0.26,1.01,142853,122,709.795081967213,456,24946.3524590164,3043455,7142700.0,0.294134743164351,-0.7306692064416965
2011-08-28,1901314,7649,15994,18215,11561,7755426037811680,7755426037811680,10339379615977.0,5473,0.0633449074074074,444.4438150922709,2432441,183430.28231928,33.5154910139374,15.48260908,4.51282409,0.00082456131737621,0.0,4474782745576097.5,1.00465821075709,1.2843709111058783,12.877116808642382,889959,17795,9953,189234.79514337,183434.79514337,10.6341553887816,18.4301009889853,0.13458188,1.29,142969,116,750.086206896552,472,21234.086206896598,2463154,7148500.0,0.294124463873584,-0.71536052823425
2011-08-29,1912727,10345,16312,18696,11413,7755426037811680,7755426037811680,12333607527721.3,7956,0.09208333333333334,426.839240824535,3395933,237179.23402714,29.811366770631103,10.01,5.35429164,0.000672987888386124,0.0,4532273340535534.0,1.01711006084344,1.2907964292814131,12.916118353289995,894648,19515,14826,244084.58831878,237184.58831878,12.507537192866002,15.997881311127903,0.33,0.89918557,143107,138,628.804347826087,400,24845.9782608696,3428745,7155400.0,0.294106357436386,-0.7188210045874646
2011-08-30,1922002,10303,14833,17313,9275,7658485984398380,7635483259859630,12856485712694.9,7658,0.08863425925925926,410.6533037346569,3144783,236877.08085999,30.931977129797602,13.04171155,9.82284288,0.00128269037346566,0.0,4588826882542215.0,0.982715992357353,1.2961451709115102,12.945169910495627,898517,17681,13812,244186.90370287,236886.90370287,13.810695305857804,17.1508039170917,0.8219443000000001,1.01,143253,146,595.869863013699,439,21783.1917808219,3180346,7162700.0,0.2940022365868189,-0.7242334477084261
2011-08-31,1930976,9908,14262,16787,8974,7635483259859630,7635483259859630,13767389899007.1,7137,0.08260416666666667,409.20737004343596,2920513,264156.20473885,37.0122186827588,18.09179219,5.91458926,0.000828722048479753,0.0,4645380424548901.0,0.981709721371759,1.3035540204171354,12.971401445645045,902779,16985,12723,271912.11932811,264162.11932811,16.0089560982107,20.762565379871894,1.0,1.7831,143408,155,554.606451612903,376,19086.0774193548,2958342,7170450.0,0.294216982197841,-0.7421653111606277
2011-09-01,1939697,10057,13555,16492,8721,7635483259859630,7635483259859630,11295611703232.7,7074,0.081875,428.17543115634595,3028913,328812.32065112,46.4818095350747,17.639979399999994,5.61094361,0.0007931783446423518,0.0,4701933966555590.0,0.972455979323131,1.310005706948166,12.978416672332196,905965,16643,13457,335267.93159473,328817.93159473,20.1446813431912,24.4347129073888,1.0,1.60666644,143537,129,675.968992248062,541,23808.488372092997,3071295,7176900.0,0.29436442893181,-0.7419976495906349
2011-09-02,1948190,9381,13518,15858,8493,7635483259859630,7635483259859630,13817955366906.8,6870,0.07951388888888887,411.72605531295403,2828558,253327.85551379,36.87450589720369,16.70531908,6.83590736,0.000995037461426492,0.0,4758487508562280.0,1.00286774556199,1.3155722236156946,12.979777233060089,909237,15739,12467,261134.69142115,253334.69142115,16.5915681695883,20.320421225727998,1.0,1.44909143,143693,156,552.576923076923,378,18376.2435897436,2866694,7184700.0,0.294368732167065,-0.7296477171569151
2011-09-03,1955668,8126,12048,14200,7478,7635483259859630,7635483259859630,12794631727911.6,5780,0.06689814814814815,423.2185121107271,2446203,224355.84231585,38.8158896740225,18.71466589,3.82927997,0.000662505185121107,0.0,4815041050568969.0,0.99525910519132,1.3220408431889394,12.996743252911608,912666,14139,10710,231609.67159582,224359.67159582,16.3809089465888,20.9486154617946,1.0,1.15538921,143838,145,596.772413793103,438,17124.2896551724,2483022,7191950.0,0.294375525413929,-0.7341556892062053
