,stock,463d-daily-flow,463-day-flow,463-day-sf
03.01.2009,50.0,,,
04.01.2009,50.0,,,
05.01.2009,50.0,,,
06.01.2009,50.0,,,
07.01.2009,50.0,,,
08.01.2009,50.0,,,
09.01.2009,750.0,,,
10.01.2009,3800.0,,,
11.01.2009,8450.0,,,
12.01.2009,13150.0,,,
13.01.2009,19300.0,,,
14.01.2009,25750.0,,,
15.01.2009,32050.0,,,
16.01.2009,37450.0,,,
17.01.2009,42900.0,,,
18.01.2009,48250.0,,,
19.01.2009,54000.0,,,
20.01.2009,59700.0,,,
21.01.2009,64800.0,,,
22.01.2009,69350.0,,,
23.01.2009,73550.0,,,
24.01.2009,83600.0,,,
25.01.2009,93150.0,,,
26.01.2009,97950.0,,,
27.01.2009,102800.0,,,
28.01.2009,108400.0,,,
29.01.2009,114450.0,,,
30.01.2009,120300.0,,,
31.01.2009,127200.0,,,
01.02.2009,132850.0,,,
02.02.2009,139250.0,,,
03.02.2009,146200.0,,,
04.02.2009,152150.0,,,
05.02.2009,158450.0,,,
06.02.2009,164550.0,,,
07.02.2009,171000.0,,,
08.02.2009,177600.0,,,
09.02.2009,184300.0,,,
10.02.2009,190300.0,,,
11.02.2009,196950.0,,,
12.02.2009,202900.0,,,
13.02.2009,209100.0,,,
14.02.2009,215900.0,,,
15.02.2009,222300.0,,,
16.02.2009,228400.0,,,
17.02.2009,234250.0,,,
18.02.2009,240150.0,,,
19.02.2009,246350.0,,,
20.02.2009,252450.0,,,
21.02.2009,258150.0,,,
22.02.2009,264200.0,,,
23.02.2009,269600.0,,,
24.02.2009,274900.0,,,
25.02.2009,280150.0,,,
26.02.2009,285500.0,,,
27.02.2009,291250.0,,,
28.02.2009,296200.0,,,
01.03.2009,301450.0,,,
02.03.2009,306850.0,,,
03.03.2009,312100.0,,,
04.03.2009,317300.0,,,
05.03.2009,322900.0,,,
06.03.2009,328750.0,,,
07.03.2009,334200.0,,,
08.03.2009,339950.0,,,
09.03.2009,345350.0,,,
10.03.2009,350700.0,,,
11.03.2009,356400.0,,,
12.03.2009,362300.0,,,
13.03.2009,367950.0,,,
14.03.2009,373450.0,,,
15.03.2009,379600.0,,,
16.03.2009,385650.0,,,
17.03.2009,391350.0,,,
18.03.2009,397050.0,,,
19.03.2009,403150.0,,,
20.03.2009,409050.0,,,
21.03.2009,411550.0,,,
22.03.2009,417500.0,,,
23.03.2009,424000.0,,,
24.03.2009,429250.0,,,
25.03.2009,435100.0,,,
26.03.2009,440950.0,,,
27.03.2009,446250.0,,,
28.03.2009,452200.0,,,
29.03.2009,458000.0,,,
30.03.2009,464000.0,,,
31.03.2009,469500.0,,,
01.04.2009,475200.0,,,
02.04.2009,480950.0,,,
03.04.2009,486750.0,,,
04.04.2009,492400.0,,,
05.04.2009,498900.0,,,
06.04.2009,504350.0,,,
07.04.2009,509350.0,,,
08.04.2009,514600.0,,,
09.04.2009,519550.0,,,
10.04.2009,524950.0,,,
11.04.2009,530950.0,,,
12.04.2009,536850.0,,,
13.04.2009,542600.0,,,
14.04.2009,548800.0,,,
15.04.2009,554450.0,,,
16.04.2009,560600.0,,,
17.04.2009,566200.0,,,
18.04.2009,572500.0,,,
19.04.2009,578450.0,,,
20.04.2009,584400.0,,,
21.04.2009,590550.0,,,
22.04.2009,596600.0,,,
23.04.2009,600350.0,,,
24.04.2009,606100.0,,,
25.04.2009,612000.0,,,
26.04.2009,617600.0,,,
27.04.2009,622800.0,,,
28.04.2009,628650.0,,,
29.04.2009,635050.0,,,
30.04.2009,641600.0,,,
01.05.2009,647650.0,,,
02.05.2009,653950.0,,,
03.05.2009,659250.0,,,
04.05.2009,665650.0,,,
05.05.2009,672400.0,,,
06.05.2009,679150.0,,,
07.05.2009,685200.0,,,
08.05.2009,690600.0,,,
09.05.2009,694500.0,,,
10.05.2009,698750.0,,,
11.05.2009,704750.0,,,
12.05.2009,711250.0,,,
13.05.2009,716800.0,,,
14.05.2009,723750.0,,,
15.05.2009,730550.0,,,
16.05.2009,736500.0,,,
17.05.2009,742850.0,,,
18.05.2009,748750.0,,,
19.05.2009,753050.0,,,
20.05.2009,759050.0,,,
21.05.2009,763150.0,,,
22.05.2009,766200.0,,,
23.05.2009,767800.0,,,
24.05.2009,772800.0,,,
25.05.2009,778250.0,,,
26.05.2009,784500.0,,,
27.05.2009,790450.0,,,
28.05.2009,795200.0,,,
29.05.2009,800500.0,,,
30.05.2009,805950.0,,,
31.05.2009,810750.0,,,
01.06.2009,814300.0,,,
02.06.2009,819850.0,,,
03.06.2009,823400.0,,,
04.06.2009,826700.0,,,
05.06.2009,828200.0,,,
06.06.2009,829600.0,,,
07.06.2009,830400.0,,,
08.06.2009,834500.0,,,
09.06.2009,839050.0,,,
10.06.2009,843150.0,,,
11.06.2009,847600.0,,,
12.06.2009,851900.0,,,
13.06.2009,855800.0,,,
14.06.2009,859400.0,,,
15.06.2009,863600.0,,,
16.06.2009,867150.0,,,
17.06.2009,871100.0,,,
18.06.2009,875100.0,,,
19.06.2009,879450.0,,,
20.06.2009,883350.0,,,
21.06.2009,887400.0,,,
22.06.2009,891200.0,,,
23.06.2009,895000.0,,,
24.06.2009,899750.0,,,
25.06.2009,903150.0,,,
26.06.2009,907650.0,,,
27.06.2009,911850.0,,,
28.06.2009,914150.0,,,
29.06.2009,918300.0,,,
30.06.2009,922550.0,,,
01.07.2009,926250.0,,,
02.07.2009,930400.0,,,
03.07.2009,934500.0,,,
04.07.2009,938950.0,,,
