,value
08/18/2011 00:00:00,120884259
08/19/2011 00:00:00,129645595
08/20/2011 00:00:00,129756498
08/21/2011 00:00:00,129756498
08/22/2011 00:00:00,129756498
08/23/2011 00:00:00,129756498
08/24/2011 00:00:00,116448140
08/25/2011 00:00:00,110902990
08/26/2011 00:00:00,110902990
08/27/2011 00:00:00,110902990
08/28/2011 00:00:00,110902990
08/29/2011 00:00:00,110902990
08/30/2011 00:00:00,88722392
08/31/2011 00:00:00,88722392
09/01/2011 00:00:00,91162258
09/02/2011 00:00:00,98481855
09/03/2011 00:00:00,98481855
09/04/2011 00:00:00,98592758
09/05/2011 00:00:00,98592758
09/06/2011 00:00:00,88722392
09/07/2011 00:00:00,94267542
09/08/2011 00:00:00,82068213
09/09/2011 00:00:00,82068213
09/10/2011 00:00:00,82068213
09/11/2011 00:00:00,82068213
09/12/2011 00:00:00,82068213
09/13/2011 00:00:00,66209085
09/14/2011 00:00:00,61329353
09/15/2011 00:00:00,56893234
09/16/2011 00:00:00,53787950
09/17/2011 00:00:00,54009756
09/18/2011 00:00:00,54564271
09/19/2011 00:00:00,54342465
09/20/2011 00:00:00,62771092
09/21/2011 00:00:00,62771092
09/22/2011 00:00:00,63436510
09/23/2011 00:00:00,63436510
09/24/2011 00:00:00,62992898
09/25/2011 00:00:00,67096309
09/26/2011 00:00:00,53233435
09/27/2011 00:00:00,54564271
09/28/2011 00:00:00,53455241
09/29/2011 00:00:00,53455241
09/30/2011 00:00:00,53455241
10/01/2011 00:00:00,53455241
10/02/2011 00:00:00,53455241
10/03/2011 00:00:00,54009756
10/04/2011 00:00:00,55229689
10/05/2011 00:00:00,54564271
10/06/2011 00:00:00,53233435
10/07/2011 00:00:00,51126278
10/08/2011 00:00:00,44250293
10/09/2011 00:00:00,43141263
10/10/2011 00:00:00,50017248
10/11/2011 00:00:00,45470226
10/12/2011 00:00:00,43584875
10/13/2011 00:00:00,44028487
10/14/2011 00:00:00,44915711
10/15/2011 00:00:00,44915711
10/16/2011 00:00:00,44915711
10/17/2011 00:00:00,43473972
10/18/2011 00:00:00,43473972
10/19/2011 00:00:00,43473972
10/20/2011 00:00:00,24842270
10/21/2011 00:00:00,25174979
10/22/2011 00:00:00,25174979
10/23/2011 00:00:00,25174979
10/24/2011 00:00:00,32383673
10/25/2011 00:00:00,30165613
10/26/2011 00:00:00,29832904
10/27/2011 00:00:00,29832904
10/28/2011 00:00:00,46579256
10/29/2011 00:00:00,43806681
10/30/2011 00:00:00,38816047
10/31/2011 00:00:00,36597987
11/01/2011 00:00:00,36930696
11/02/2011 00:00:00,36930696
11/03/2011 00:00:00,36930696
11/04/2011 00:00:00,39370561
11/05/2011 00:00:00,33825412
11/06/2011 00:00:00,32716382
11/07/2011 00:00:00,32716382
11/08/2011 00:00:00,34158121
11/09/2011 00:00:00,36542041
11/10/2011 00:00:00,36555326
11/11/2011 00:00:00,36571946
11/12/2011 00:00:00,36178835
11/13/2011 00:00:00,37087585
11/14/2011 00:00:00,27455114
11/15/2011 00:00:00,27810695
11/16/2011 00:00:00,32977109
11/17/2011 00:00:00,32913907
11/18/2011 00:00:00,27790040
11/19/2011 00:00:00,26917949
