,l0,l1,outlier_cutoff,pca_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2
0,20,20,1.0,3.0,3129,0.83,17072,0.66
1,20,20,1.0,5.0,2904,0.88,15000,0.76
2,20,20,1.0,7.0,3016,0.85,16290,0.65
3,20,20,1.5,3.0,3148,0.86,14442,0.74
4,20,20,1.5,5.0,3017,0.89,13555,0.66
5,20,20,1.5,7.0,3038,0.88,13313,0.68
6,20,20,2.0,3.0,3165,0.85,11749,0.75
7,20,20,2.0,5.0,3026,0.85,11170,0.71
8,20,20,2.0,7.0,2948,0.86,12571,0.72
9,20,20,2.5,3.0,7146,0.67,11665,0.76
10,20,20,2.5,5.0,6789,0.72,10630,0.67
11,20,20,2.5,7.0,6611,0.76,11353,0.76
12,20,20,3.0,3.0,10392,0.78,10553,0.76
13,20,20,3.0,5.0,10010,0.81,8355,0.82
14,20,20,3.0,7.0,9967,0.85,9052,0.8
15,20,20,3.5,3.0,9940,0.77,10800,0.69
16,20,20,3.5,5.0,10050,0.82,8045,0.78
17,20,20,3.5,7.0,9642,0.85,10321,0.62
18,20,40,1.0,3.0,2825,0.81,16203,0.69
19,20,40,1.0,5.0,2795,0.87,15123,0.72
20,20,40,1.0,7.0,2865,0.88,13026,0.47
21,20,40,1.5,3.0,2832,0.89,10511,0.75
22,20,40,1.5,5.0,2754,0.91,12329,0.71
23,20,40,1.5,7.0,2649,0.88,13131,0.72
24,20,40,2.0,3.0,2936,0.83,10365,0.77
25,20,40,2.0,5.0,2672,0.87,11849,0.72
26,20,40,2.0,7.0,2850,0.83,9549,0.67
27,20,40,2.5,3.0,6438,0.68,11164,0.76
28,20,40,2.5,5.0,6341,0.74,10144,0.63
29,20,40,2.5,7.0,5924,0.77,10468,0.77
30,20,40,3.0,3.0,9243,0.78,11347,0.76
31,20,40,3.0,5.0,9252,0.83,9792,0.68
32,20,40,3.0,7.0,8850,0.85,11181,0.63
33,20,40,3.5,3.0,9272,0.79,8270,0.73
34,20,40,3.5,5.0,8770,0.82,10368,0.7
35,20,40,3.5,7.0,8482,0.85,8526,0.86
36,20,60,1.0,3.0,2611,0.82,15892,0.64
37,20,60,1.0,5.0,2529,0.89,14530,0.64
38,20,60,1.0,7.0,2514,0.87,17620,0.61
39,20,60,1.5,3.0,2584,0.88,13600,0.74
40,20,60,1.5,5.0,2476,0.91,12741,0.72
41,20,60,1.5,7.0,2438,0.9,13020,0.71
42,20,60,2.0,3.0,2759,0.85,11901,0.79
43,20,60,2.0,5.0,2688,0.86,12341,0.8
44,20,60,2.0,7.0,2588,0.87,12066,0.77
45,20,60,2.5,3.0,6366,0.7,9149,0.8
46,20,60,2.5,5.0,6174,0.74,7820,0.8
47,20,60,2.5,7.0,5512,0.79,11942,0.59
48,20,60,3.0,3.0,9153,0.8,9009,0.78
49,20,60,3.0,5.0,8592,0.84,9109,0.7
50,20,60,3.0,7.0,8697,0.87,8288,0.71
51,20,60,3.5,3.0,8751,0.8,9284,0.7
52,20,60,3.5,5.0,8331,0.84,9505,0.69
53,20,60,3.5,7.0,7950,0.87,9142,0.73
54,20,80,1.0,3.0,2661,0.85,13490,0.63
55,20,80,1.0,5.0,2449,0.87,14482,0.6
56,20,80,1.0,7.0,2503,0.89,13670,0.49
57,20,80,1.5,3.0,2457,0.88,10901,0.74
58,20,80,1.5,5.0,2297,0.91,11724,0.69
59,20,80,1.5,7.0,2246,0.92,11340,0.69
60,20,80,2.0,3.0,2663,0.83,11308,0.79
61,20,80,2.0,5.0,2672,0.85,12239,0.73
62,20,80,2.0,7.0,2461,0.88,11344,0.72
63,20,80,2.5,3.0,6248,0.71,9187,0.76
64,20,80,2.5,5.0,5537,0.76,10845,0.79
65,20,80,2.5,7.0,5338,0.79,9755,0.77
66,20,80,3.0,3.0,9037,0.81,8858,0.74
67,20,80,3.0,5.0,8007,0.84,9845,0.83
68,20,80,3.0,7.0,7939,0.87,10520,0.6
69,20,80,3.5,3.0,8417,0.8,8816,0.81
70,20,80,3.5,5.0,7953,0.84,9750,0.71
71,20,80,3.5,7.0,7754,0.86,8610,0.75
72,20,100,1.0,3.0,2452,0.86,15498,0.62
73,20,100,1.0,5.0,2428,0.89,14816,0.69
74,20,100,1.0,7.0,2381,0.9,14039,0.62
75,20,100,1.5,3.0,2268,0.89,12413,0.72
76,20,100,1.5,5.0,2311,0.9,13301,0.72
77,20,100,1.5,7.0,2146,0.9,12255,0.66
78,20,100,2.0,3.0,2493,0.86,10951,0.73
79,20,100,2.0,5.0,2485,0.87,11002,0.71
80,20,100,2.0,7.0,2573,0.85,10326,0.73
81,20,100,2.5,3.0,6170,0.72,8212,0.8
82,20,100,2.5,5.0,5597,0.77,8460,0.8
83,20,100,2.5,7.0,5291,0.8,10385,0.61
84,20,100,3.0,3.0,8555,0.81,9632,0.75
85,20,100,3.0,5.0,8315,0.84,8141,0.81
86,20,100,3.0,7.0,7923,0.87,10322,0.7
