,outliers_cutoff,pca_n,top_features_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2,tier
0,1.0,3.0,10,1692,0.81,6273,0.9,Tier 1
1,1.0,3.0,15,986,0.92,10817,0.43,Tier 1
2,1.0,3.0,20,920,0.92,12047,0.19,Tier 1
3,1.0,3.0,30,870,0.92,19669,0.66,Tier 1
4,1.0,3.0,40,603,0.96,11587,0.55,Tier 1
5,1.0,5.0,10,782,0.96,10621,0.66,Tier 1
6,1.0,5.0,15,853,0.94,8850,0.42,Tier 1
7,1.0,5.0,20,801,0.94,10744,0.64,Tier 1
8,1.0,5.0,30,629,0.96,17242,0.02,Tier 1
9,1.0,5.0,40,634,0.96,12946,0.38,Tier 1
10,1.0,7.0,10,808,0.96,7553,0.67,Tier 1
11,1.0,7.0,15,667,0.96,11918,0.43,Tier 1
12,1.0,7.0,20,640,0.96,13700,0.21,Tier 1
13,1.0,7.0,30,624,0.96,11791,0.43,Tier 1
14,1.0,7.0,40,607,0.96,10205,0.56,Tier 1
15,1.0,10.0,10,1108,0.95,8253,0.61,Tier 1
16,1.0,10.0,15,442,0.98,11920,0.34,Tier 1
17,1.0,10.0,20,630,0.96,13778,0.17,Tier 1
18,1.0,10.0,30,610,0.96,14712,0.01,Tier 1
19,1.0,10.0,40,496,0.97,18183,0.05,Tier 1
20,1.0,12.0,15,442,0.98,10117,0.38,Tier 1
21,1.0,12.0,20,452,0.98,10634,0.69,Tier 1
22,1.0,12.0,30,536,0.97,20278,0.47,Tier 1
23,1.0,12.0,40,485,0.97,10844,0.45,Tier 1
24,1.0,15.0,15,1555,0.97,11430,0.37,Tier 1
25,1.0,15.0,20,457,0.98,12483,0.2,Tier 1
26,1.0,15.0,30,424,0.98,18003,0.01,Tier 1
27,1.0,15.0,40,783,0.97,12618,0.42,Tier 1
28,1.0,17.0,20,485,0.98,12595,0.2,Tier 1
29,1.0,17.0,30,415,0.98,17478,0.06,Tier 1
30,1.0,17.0,40,492,0.97,11505,0.39,Tier 1
31,1.0,20.0,20,931,0.97,9616,0.25,Tier 1
32,1.0,20.0,30,440,0.98,14025,0.05,Tier 1
33,1.0,20.0,40,563,0.97,10928,0.41,Tier 1
34,1.5,3.0,10,1911,0.74,11761,0.87,Tier 1
35,1.5,3.0,15,1243,0.87,12951,0.3,Tier 1
36,1.5,3.0,20,1192,0.88,11982,0.85,Tier 1
37,1.5,3.0,30,1188,0.88,17523,0.02,Tier 1
38,1.5,3.0,40,1366,0.84,17112,0.43,Tier 1
39,1.5,5.0,10,1049,0.92,13075,0.37,Tier 1
40,1.5,5.0,15,1230,0.88,11698,0.32,Tier 1
41,1.5,5.0,20,1162,0.89,10739,0.8,Tier 1
42,1.5,5.0,30,1164,0.88,11628,0.61,Tier 1
43,1.5,5.0,40,1193,0.88,17228,0.5,Tier 1
44,1.5,7.0,10,1044,0.92,11868,0.56,Tier 1
45,1.5,7.0,15,937,0.93,13456,0.23,Tier 1
46,1.5,7.0,20,1135,0.89,11099,0.8,Tier 1
47,1.5,7.0,30,1027,0.91,16078,0.02,Tier 1
48,1.5,7.0,40,1128,0.89,16818,0.3,Tier 1
49,1.5,10.0,10,1007,0.93,9706,0.39,Tier 1
50,1.5,10.0,15,824,0.95,13689,0.22,Tier 1
51,1.5,10.0,20,837,0.94,12040,0.16,Tier 1
52,1.5,10.0,30,951,0.92,14017,0.03,Tier 1
53,1.5,10.0,40,1088,0.9,18523,0.42,Tier 1
54,1.5,12.0,15,813,0.95,10683,0.26,Tier 1
55,1.5,12.0,20,720,0.96,12867,0.14,Tier 1
56,1.5,12.0,30,847,0.94,14894,0.04,Tier 1
57,1.5,12.0,40,962,0.92,19190,0.62,Tier 1
58,1.5,15.0,15,768,0.95,10137,0.28,Tier 1
59,1.5,15.0,20,707,0.96,13894,0.14,Tier 1
60,1.5,15.0,30,731,0.95,16836,0.04,Tier 1
61,1.5,15.0,40,802,0.94,17960,0.56,Tier 1
62,1.5,17.0,20,665,0.96,13134,0.8,Tier 1
63,1.5,17.0,30,676,0.96,8796,0.62,Tier 1
64,1.5,17.0,40,738,0.95,16826,0.32,Tier 1
65,1.5,20.0,20,673,0.96,14962,0.15,Tier 1
66,1.5,20.0,30,639,0.97,11890,0.46,Tier 1
67,1.5,20.0,40,686,0.96,17393,0.51,Tier 1
68,2.0,3.0,10,2093,0.74,10704,0.82,Tier 1
69,2.0,3.0,15,1498,0.86,12380,0.59,Tier 1
70,2.0,3.0,20,1486,0.86,10544,0.86,Tier 1
71,2.0,3.0,30,1526,0.85,11543,0.68,Tier 1
